artist,album,track,rank
underscores,,,1
Tiffany Day,,,2
Jane Remover,,,3
quannnic,,,4
100 gecs,,,5
Charli xcx,,,6
A. G. Cook,,,7
SOPHIE,,,8
glaive,,,9
ericdoa,,,10
brakence,,,11
Caroline Polachek,,,12
Hannah Diamond,,,13
Danny L Harle,,,14
food house,,,15
midwxst,,,16
aldn,,,17
osquinn,,,18
d0llywood1,,,19
Alice Longyu Gao,Let's Hope Heteros Fail Learn And Retire,,20
Blackwinterwells,,,21
Bladee,333,,22
Ecco2k,E,Peroxide,23
yeule,Glitch Princess,Don't Be So Hard On Your Own Beauty,24
PinkPantheress,to hell with it,Pain,25
Magdalena Bay,Mercurial World,Chaeri,26
Dorian Electra,Flamboyant,Career Boy,27
George Clanton,Slide,,28
Namasenda,Unlimited Ammo,,29
umru,search result,,30
8485,,,31
