artist,album,track,rank
The Beatles,Abbey Road,Come Together,1
Pink Floyd,The Dark Side of the Moon,Time,2
Led Zeppelin,Led Zeppelin IV,Going to California,3
Fleetwood Mac,Rumours,The Chain,4
The Rolling Stones,Let It Bleed,Gimme Shelter,5
David Bowie,Hunky Dory,Life on Mars?,6
The Who,Who's Next,Baba O'Riley,7
Creedence Clearwater Revival,Cosmo's Factory,Up Around the Bend,8
The Beach Boys,Pet Sounds,God Only Knows,9
Simon & Garfunkel,Bridge Over Troubled Water,,10
The Doors,L.A. Woman,Riders on the Storm,11
Jimi Hendrix,Are You Experienced,Purple Haze,12
Neil Young,Harvest,,13
Bob Dylan,Blood on the Tracks,,14
The Kinks,The Kinks Are the Village Green Preservation Society,Waterloo Sunset,15
Steely Dan,Aja,,16
Van Morrison,Astral Weeks,,17
Otis Redding,Otis Blue,Try a Little Tenderness,18
Sam Cooke,Night Beat,Bring It On Home to Me,19
Marvin Gaye,What's Going On,,20
Stevie Wonder,Innervisions,,21
The Velvet Underground,The Velvet Underground & Nico,Sunday Morning,22
Black Sabbath,Paranoid,,23
Queen,A Night at the Opera,,24
The Zombies,Odessey and Oracle,A Rose for Emily,25
Love,Forever Changes,Alone Again Or,26
Big Star,#1 Record,Thirteen,27
Nick Drake,Pink Moon,Place to Be,28
Television,Marquee Moon,Marquee Moon,29
Funkadelic,Maggot Brain,Can You Get to That,30
Curtis Mayfield,Curtis,Move On Up,31
Bill Withers,Still Bill,Use Me,32
Can,Tago Mago,Halleluwah,33
Harry Nilsson,Nilsson Schmilsson,Coconut,34
