artist,album,track,rank
"Tyler, The Creator",IGOR,EARFQUAKE,1
검정치마,THIRSTY,Island (Queen of Diamonds),2
검정치마,TEEN TROUBLES,Powder Blue,3
"Tyler, The Creator",CALL ME IF YOU GET LOST,HOT WIND BLOWS (feat. Lil Wayne),4
Malcolm Todd,Sweet Boy,4Me 4Me,5
Anderson .Paak,Ventura,What Can We Do? (feat. Nate Dogg),6
Thundercat,It Is What It Is,Funny Thing,7
Knxwledge,"Musiq, Pt. 1",Jstfriends,8
NewJeans,NewJeans 2nd EP 'Get Up',ETA,9
wave to earth,summer flows 0.02,summer flows,10
Free Nationals,Free Nationals,Gidget (feat. Anderson .Paak & T.Nava),11
Marvin Gaye,You're The Man (Expanded Edition),My Last Chance (SalaAM ReMi LP Mix),12
Smino,Luv 4 Rent,No L's,13
Westside Gunn,Hitler Wears Hermes 8: Side B,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)",14
wave to earth,0.1 flaws and all.,bad,15
Zion.T,Zip,UNLOVE (prod. HONNE),16
Meaningful Stone,A Call from My Dream,"Beep-Boop, Beep-Boop",17
SURL,I Know,Dry Flower,18
PinkPantheress,Fancy That,Tonight,19
Boldy James,The Bricktionary,Rabies (feat. Benny the Butcher),20
Steve Lacy,Apollo XXI,Only If,21
Baby Keem,DIE FOR MY BITCH,STATS,22
TWICE,BETWEEN 1&2,Talk that Talk,23
Machine Girl,PsychoWarrior: MG Ultra X,"Come On Baby, Scrape My Data",24
Yung Bae,Bae 5,Welcome To the Disco (feat. Macross 82-99),25
Wisp,If Not Winter,Breathe onto me,26
The Avalanches,We Will Always Love You,The Divine Chord (feat. MGMT & Johnny Marr),27
Kendrick Lamar,GNX,tv off (feat. Lefty Gunplay),28
